Pgroup	Pname
DAIRY_CHESSE	MLEKO SWIEZE SREM
GENERAL	BUDYN SLODKA CHWILA CZEK MALINA
SPICES	MARCO POLO ZILA KURCZAKA SOLA MOR
ICE_CREAMS_FROZEN	LODY JOCKER KORAL
GENERAL_FOOD	TORTILA SZTUKI
VODKA_ALCOHOL	NAP SPIR SOPLICA WISNIOWA
VODKA_ALCOHOL	WODKA KRUPNIK GRAPEFRUIT
SPICES	PRYMAT PRZYPRAWA KURCZAKA PIK
SPICES	GALEO PIEPRZ CZARNY MIELONY
CIGARETTES	PAP LUCKY STRIKE RED
GENERAL_FOOD	SERDELKI DROBIEM
ICE_CREAMS_FROZEN	LODY ROZEK MIX
COOKIES_BULK	CUKIERKI MINI MIESZANKA
DRINK_JUICE	WODA USTRONIANKA MAGNEZEM
CHEMISTRY	ODSWIEZACZ ZAPAS SZYSZKA
CHEMISTRY	KRET GRANULKI
DRINK_JUICE	HELLENA ORANGE GAZ
CHIPS_FLAKES	STAR CHIPS KEBAB
GROATS_RICE_PASTA	CYKORIA SOS BIALY
VEGETABLES	SUROWKA POROWA KUBEK
SWEETS	CIASTKA JEZYKI DARK WISNIA
VEGETABLES	KAPUSTA MLODA KWASZONA LUZ
OCCASIONAL	JOGURT FINEZJA
SWEETS	GRZESKI CZEKOLADZIE
TABLETS	TABLETKI GRIPEX CNTROL
SWEETS	GUMA TATUAZEM
VEGETABLES	CEBUL CZERWONNA MODRA
SWEETS	MILKA CZEKOL OREO
CHEWING_GUM_LOLIPOPS	GUMA ORBIT BAG SPEARMINT
KETCH_CONCETRATE_MUSTARD_MAJO_HORSERADISH	PRZYPR WARZYWKO
GENERAL	FASOLA BIALA SLON OGROD
CHEMISTRY	CHUSTECZKI CHIGIENICZNE GRATIS
SPICES	KNORR IMBIR NIGERI
DRINK_JUICE	ZBYSZKO POM CZERWONE GAZ
GENERAL_FOOD	SKORUPKA SALATKA WARZYWNA
CHIPS_FLAKES	LAYS PIECA PAPRYKA
GENERAL_FOOD	CUKIER PUDER KROS
GENERAL	VITAFIZZ WIT
CIGARETTES	PAP RGD MINT SUP SLIM
DRINK_JUICE	WODA USTRONIANKA GAZ TRUSKAWKA
SPICES	PRYMAT ZIELE ANGIELSKIE
BEER	PIWO ZAU SZATANA BEZW
CHEWING_GUM_LOLIPOPS	GUMA ROLL TATTOO
OCCASIONAL	TABLETKI ETOPIRYNA SZT
ICE_CREAMS_FROZEN	LODY KAKTUS
CIGARETTES	PAP PINK SUPER SLIM
ICE_CREAMS_FROZEN	WARZYWA PATELNIE CALFLOST
VODKA_ALCOHOL	NAP SPIR ABSOLWENT POZIOMAKA
GENERAL_FOOD	SERDELKI DROBIEM
VODKA_ALCOHOL	NAP SPIR SOPLICA WISNIOWA
SWEETS	JAJKO PRINCES
DAIRY_CHESSE	BAKOMA KAWA SATINA
DAIRY_CHESSE	JOGURT MULLER CHOCO
CHEMISTRY	FOLIA ALUMINIOWA PAN PACK
CHEMISTRY	WORECZKI SNIADANIOWE SZT
KETCH_CONCETRATE_MUSTARD_MAJO_HORSERADISH	NAP TYMBARK JABL ARBUZOWY
ICE_CREAMS_FROZEN	PIZZA SERY
VEGETABLES	PAPRYKA CZERWONA ZOLTA
GENERAL_FOOD	POWIDLA STOVIT
MEAT	KIE BASKI PYSZNE
WINE_ALCOHOL 18%	WINO WALDWEIN MALINA SLODKIE
KETCH_CONCETRATE_MUSTARD_MAJO_HORSERADISH	HERBATNIKI FAMILIJNE KRUCHE CUK
CHIPS_FLAKES	CHRUPKI STAR HYPER PIZZA
BEER	PIWO WARKA RADLER MALI CYTR PUSZKA
GENERAL_FOOD	POPCORN ZIARNO
SWEETS	PRINCE POLO ORZECH
SWEETS	BOMBONIERA GALARE CZEKOL WISNIA
OCCASIONAL	JOGURT FINEZJA
DAIRY_CHESSE	LACIATY MEKSYKANSKI
DRINK_JUICE	HELLENA ORANZADA BIALA GAZ
GENERAL	KRATKA WYSMAZENIA
DAIRY_CHESSE	FANTAZJA TRUSKA
KETCH_CONCETRATE_MUSTARD_MAJO_HORSERADISH	KREM KARPATKA DELECTA
CHIPS_FLAKES	WAFLE RYZOWE RYZ DZIKI
ART._HYGIENIC	BELLA PODPASKI PERFECTA GREEN
ICE_CREAMS_FROZEN	LODY ROLADA LORAL
GENERAL_FOOD	PYZY WIEJSAKIE DOLCZEWSKI
KETCH_CONCETRATE_MUSTARD_MAJO_HORSERADISH	AMINO BLYSK ROSOL PIEPRZEM
WINE_ALCOHOL 18%	SZAMPAN DORATO BIALY
GENERAL_FOOD	GROSZEK KON SLONECZNY OGROD
OCCASIONAL	KOMPOT AGRESTU
KETCH_CONCETRATE_MUSTARD_MAJO_HORSERADISH	CIASTKA JEZYKI DARK COCOA
DISHES_FOR_CHILDREN	CATERING SANDWICH CURRY
DAIRY_CHESSE	JOGURT WYSPA
CIGARETTES	PAP ROTHMANSY CLICK
BEER	PIWO DESPERADOS
GENERAL	CZARNUSZKA
SPICES	PRYMAT PRZYP RYB
ICE_CREAMS_FROZEN	LODY TORTUFFO CZEKOLADA
DAIRY_CHESSE	DANIO WANILIA SASZETKA
VEGETABLES	IMBIR
DAIRY_CHESSE	SMIETANA ZOT
CHEMISTRY	NUREK GRANULKI RUR
DRINK_JUICE	NAP TYMBARK JAB
SWEETS	CZEK ALPEN GOLD GORZKA
CHEMISTRY	GABKA KAPIELI
DAIRY_CHESSE	SER MLEKPOL SALAMI ZOLTY PLASTRY
PET'S FOOD	KARMA DOG PUSZKA WOLOW WARZYW
DAIRY_CHESSE	PUDING WANILIA CZEKOL
DAIRY_CHESSE	ALMETTE SZCZYPIOREK CEBULA
SWEETS	ANDRUTY FURMANIAK
ICE_CREAMS_FROZEN	LODY ROZEK MALINA
DAIRY_CHESSE	GOS SMIETANKA GOSTYN
SWEETS	CUKIERKI PUDROWE LUZ
GENERAL	PLATKI FITNESS FRUITS
GENERAL_FOOD	WIN SOS SER PIECZ ARKA
CHEMISTRY	MYDLO BAMBINO
CHEMISTRY	TOREBKA PREZENT
GENERAL	MAKA KUKURYDZIANA
SWEETS	KAMIS KARDAMON MIELONY
DRINK_JUICE	NAP LEON JAB CYTR BANAN
SPICES	GALEO OREGANO
GENERAL_FOOD	WIN BUDYN WANILIOWY
CHEMISTRY	KREDKI OWKOWE SZT
CIGARETTES	PAP RGD LINK BLU
DRINK_JUICE	NAP RED BUL
CHEMISTRY	BELLA HUSTECZKI NAS SZT
DRINK_JUICE	NAP AQA GAZ ZURAWINA
SWEETS	BOMBONIERA FERRERO COLLECTION
SWEETS	DROPS HALLS WOTERMELON
SPICES	PRYMAT PRZYPRAWA KURCZAKA PIK
CIGARETTES	PAP LUCKY STRIKE BLUE SZT
MEAT	SZYNKA CHLEBOWA
SWEETS	ZELKI KABLE DLUGIE
CHEMISTRY	CHUSTECZKI BABY KINDII SZT
ICE_CREAMS_FROZEN	LODY PINGWINY MLYNARCZYK POL
GROATS_RICE_PASTA	MAK LUBELLA WSTAZKA
DAIRY_CHESSE	BAKOMA GRECKI
DRINK_JUICE	KUBUS MAR JAB MALINA
FISH	FILETY SLEDZ SMIETANA LISNER
CIGARETTES	PAP LINK MINT
VEGETABLES	KNORR SOS FRANCUSKI SALAT
FISH	PAPRYKARZ LOSOSIA DEGA
CIGARETTES	PAP LINK MINT
BEER	PIWO LECH MOITO
ICE_CREAMS_FROZEN	PIEROGI RUSKIE
SWEETS	ZEGAREK PUDROWY
DRINK_JUICE	HELLENA ORANZADA ZOLTA GAZ
DRINK_JUICE	NAP NAPI MULTIWITAMINA
DAIRY_CHESSE	SER ATKOWY HOCHLAND
GENERAL_FOOD	PALUSZKI LAJKONIK SOLONE
SWEETS	CZEK AMELIA MLECZNA
DAIRY_CHESSE	GOS MLEKO UHT GOSTYN
CHEWING_GUM_LOLIPOPS	CHRUPKI OWOCOWE
KETCH_CONCETRATE_MUSTARD_MAJO_HORSERADISH	HER EXP MALWA ARONIA
SWEETS	DELICJE WISNIOWE WEDEL
GENERAL	SPOD PIZZY
KETCH_CONCETRATE_MUSTARD_MAJO_HORSERADISH	NAP COCA COLA PET
SWEETS	GRZESKI GOFROWE CZEKOLADA
CIGARETTES	ZNICZ
GENERAL_FOOD	POSYPKA KOLOR
GROATS_RICE_PASTA	RYZ SONKO BRAZOWY
CHEMISTRY	MYDLO DOVE OIL
CANNED_PATE	KROKIETY KAPUS GRZYB GRZESKOWIAK
ICE_CREAMS_FROZEN	LODY MAGNUM PRALIN
ICE_CREAMS_FROZEN	SZPINAK NORDIS
GROATS_RICE_PASTA	MAKARON CZANIECKI SWOJSKI
GENERAL	BOROWIK SUSZONY
DRINK_JUICE	KUBUS MUS BANAN
ICE_CREAMS_FROZEN	TRUSKAWKA NORDIS
DAIRY_CHESSE	POEZJA DESER TRUSKAWKA
KETCH_CONCETRATE_MUSTARD_MAJO_HORSERADISH	PUDL KETCHUP LAGODNY
CHEMISTRY	EWA SZAMPON LAWENDA
COFFEE TEA	KAWA NESCAFE CLASSIC PALUSZEK
CHEMISTRY	CHUSTECZKI HAPPY
DAIRY_CHESSE	SER TOP ZLOTY EMENTALER SERTOP
SWEETS	TALARKI LAJKONIK
CHEMISTRY	PUR ACTION
SWEETS	MILKA YOGHURT
DAIRY_CHESSE	BAKOMA SATINA KARMEL
KETCH_CONCETRATE_MUSTARD_MAJO_HORSERADISH	GNIAZDKO WIELKANOCNE RAKPOL
GROATS_RICE_PASTA	MAK SULMA NITKA SPAGHETTI
BEER	PIWO WARKA RADLER PUSZKA
VEGETABLES	RUCOLA
SWEETS	RURKI PALOWANE POL FLIS
KETCH_CONCETRATE_MUSTARD_MAJO_HORSERADISH	WIN ZUPA JAK MAMY PIECZARKOWA
VEGETABLES	CUKINIA
CHEMISTRY	SOFIMA MYD DOZOWNIKIEM
CHEMISTRY	WIN GALARETKA MALINOWA
VEGETABLES	SKORUPKA KAPUSTA FOLIA
DAIRY_CHESSE	DANIO TRUSKAWKA
KETCH_CONCETRATE_MUSTARD_MAJO_HORSERADISH	NAP ENERGETYCZNY MAX PUSZKA
GENERAL	KROKIETY MIESEM GRZESKOWIAK
DAIRY_CHESSE	GOS MLEKO UHT GOSTYN
ICE_CREAMS_FROZEN	LODY GRAND SMIET
VEGETABLES	ORZECH FISTASZKI LUZ
GENERAL_FOOD	OCET PEGAZ
DRINK_JUICE	NAP TYMBARK JAB BRZOSKW
CHEMISTRY	REKLAMOWKA LOGO ABC UCHWYTEM
BREAD	PYZY DRO OWE GRZESKOWIAK
VODKA_ALCOHOL	METAXSA
CANNED_PATE	DANIE KACHNY ORIENTALNE
DRINK_JUICE	ZBYSZKO POMARANCZ GAZ
SOCKS_THIGHTS	PODKOLANŁWKI PARY
SWEETS	BATON SNICKERS
DRINK_JUICE	WODA PRIMAVERA GRATIS
VEGETABLES	KNORR SOS FRANCUSKI SALAT
CHIPS_FLAKES	LAYS OSTRA PAP
DAIRY_CHESSE	JOGURT WYSPA ZOTT
GENERAL_FOOD	KROKIETY KASZTELAN
DRINK_JUICE	WODA GAZ BUT SZKL ZWROTNEJ
DAIRY_CHESSE	JOGURT MUSLI JAB
DRINK_JUICE	KUBUS MAR BAN JAB
CHEMISTRY	PAPIER PIECZENIA PAN PACK
GENERAL_FOOD	JOGURT GRATKA
VEGETABLES	CEBULA
OCCASIONAL	PONNY FANTASY
CANNED_PATE	KROKIETY KAPUS GRZYB GRZESKOWIAK
CANNED_PATE	PROFI SZYNKA MIELONA
GENERAL	MOZZARELLA MINI
ICE_CREAMS_FROZEN	LODY KOKTAJLOWE KUKULKA
GENERAL_FOOD	KNORR KURKOWA MAKARONEM
CIGARETTES	PAP MINT LINK
CANNED_PATE	OGOREK KISZONE LUZ
VEGETABLES	SALATA LODOWA
DAIRY_CHESSE	ALMETTE CZOSNEK NIEDZWIEDZI
GENERAL	MLEKO KOKOSOWE CZEKOLADA
ICE_CREAMS_FROZEN	MIESZANKA CHINSKA NORDIS
BEER	PIWO WARKA PUSZKA
VEGETABLES	POMIDOR KOKTAILOWY
BEER	PIWO LECH ORANGE ZWROT
SPICES	KAMIS ROZMARYN
GENERAL_FOOD	MUSZTARDA SAREPSKA PEGAZ
COFFEE TEA	BISZKOPTY MLYNY POLSKIE
DAIRY_CHESSE	SEREK WIEJSKI ZIARNISTY COTTAGE
KETCH_CONCETRATE_MUSTARD_MAJO_HORSERADISH	SLEDZ WIEJSKI EKSTRA OLEJU BECZKA
VEGETABLES	POMIDOR KOKTAILOWY
GROATS_RICE_PASTA	MAKARON CZANIECKI NITKA WALCOWANA
GENERAL	ORZESZKI ZIEMNE KARMELU
GENERAL	SMAK MAK GALARETKA KURCZAKA
CIGARETTES	PAP PALL MALL RED
SWEETS	CIASTKA LEIBNIZ ZOO ORYGINAL
CHEMISTRY	BAMBINO OLIWKA DLA DZIECI
CHEMISTRY	FOLIA SPOZYWCZA PACLAN
DISHES_FOR_CHILDREN	BEBIKO
COOKIES_BULK	PIERNIK POLEWIE KOSTKA
VEGETABLES	POR
CHEMISTRY	WYBIELACZ FIERANEK
DAIRY_CHESSE	SER MLEKPOL SALAMI ZOLTY PLASTRY
EGGS	JAJKA SZT LIPOWCZYK
SWEETS	SUROWKA KUBEK
GENERAL_FOOD	AMINO BLYSK BARSZCZ CZERWONY
KETCH_CONCETRATE_MUSTARD_MAJO_HORSERADISH	OLEJ NIEZBEDNY
DRINK_JUICE	NAP SPRITE
DRINK_JUICE	NAP MARTON KIWI GAZ
CIGARETTES	PAP BLUE CIENKIE
ICE_CREAMS_FROZEN	WODA AQA
DRINK_JUICE	HELLENA CZARNA PORZECZKA
GENERAL_FOOD	CHLEB RAZOWY BENUS
BEER	PIWO WARKA RADLER MALI CYTR PUSZKA
MEAT	KIE BASA KRUCHA WEDZARNI
BREAD	BULKA RODZYNKAMI
FISH	FILETY SLEDZIOWE POMIDZ
ICE_CREAMS_FROZEN	LODY GRAND GOLD ORANGE
BREAD	CHLEB KROJONY
CHIPS_FLAKES	LAYS ZIELONA CEBULKA
VEGETABLES	LIMONKA SZT
GENERAL_FOOD	POMIDORY SLONECZ OGROD
GENERAL_FOOD	KLUSKI SLASKIE GRZESKOWIAK
BREAD	BULKA TARTA
SWEETS	CIASTECZKA MINIS CHOCO
DRINK_JUICE	ZBYSZKO FRESCH CITRUS GAZ
SWEETS	LODY CIEPLE DUZE
CHEMISTRY	PASTA ELMEX JUNIOR
SWEETS	HERBATNIKI PETIT BEURRE KRAKUSKI
TABLETS	TABLETKI WEGIEL SZT
MEAT	GALANTYNA DROBIEM
VEGETABLES	SZPARAGI ZIELONE PACZKA
COOKIES_BULK	CUKIERKI TOFFIX MIX IGLO
DAIRY_CHESSE	ACIATY SEREK OSOSIEM
FISH	MAKRELA GRAAL POMID
OILS	MAR ZWYKLA KRUSZWICA
DAIRY_CHESSE	SER FAVITA
CHEWING_GUM_LOLIPOPS	GUMA ORBIT BAG PEPPERMINT
VODKA_ALCOHOL	WODKA ZUBRŁWKA BIA
SWEETS	GOPL CZEKOLADA GORZKA
SWEETS	BATON KNOPERS KOKOS
DAIRY_CHESSE	MILLER FROOP MANGO
CHEMISTRY	BELLA CHUSTECZKI ODSWIEZAJACE
CHEMISTRY	PAPIER SNIADANIOWY SZT PAN PACK
GENERAL_FOOD	VEGETA
DRINK_JUICE	NAP OSHEE BLU
GENERAL	BATERIA MAXELL
GENERAL_FOOD	CAPPUCCINO ORZECHOWE MOKATE
VODKA_ALCOHOL	NAP SPIR BARMANSKA
WINE_ALCOHOL 18%	WINO STAROPOLSKIE CHERRY SLODKIE
KETCH_CONCETRATE_MUSTARD_MAJO_HORSERADISH	MIX EKSTRA PASLECKIE
WINE_ALCOHOL 18%	WINO KADARKA WYTRAWNE
GENERAL_FOOD	WIN GALARETKA WISNIOWY WINIARY
DAIRY_CHESSE	GOS TWAROG POLTLUSTY CHUDY LUZ
DAIRY_CHESSE	SER SMAZONY FRONCKOWIAK TLUSTY
CHEMISTRY	BREF ZEL
GROATS_RICE_PASTA	RYZ SONKO
SWEETS	ZELKI NIM SOKKI
FISH	SALATKA PIKANTNA MAKRELA
ART._HYGIENIC	BELLA PODPASKI PERF BLUE
GENERAL	AMINO BLYSK BARSZCZ CZERW MAJERANKIEM
DRINK_JUICE	SYROP WISNIA SPI HERBAPOL
GENERAL	ORZESZKI SKORUPCE PAPRYKA
GENERAL_FOOD	KNORR SOS PIECZENI CIEMNY
MEAT	KIE BASA KRUCHA WEDZARNI
GENERAL_FOOD	KETCHUP PIKANTNY TORTEX
GENERAL_FOOD	WIN GALARETKA TRUSKAWKA
MEAT	KIE BASA POLSKA WEDZONA
BEER	PIWO WARKA RADLER MALI CYTR PUSZKA
DAIRY_CHESSE	SER MOZZARELLA
TABLETS	TABLETKI NUROFEN EXPRESS SZT
GENERAL	KRAKUS BARSZCZ CZERW KONC
GENERAL_FOOD	AMINO YSK PIECZARKOWA
DRINK_JUICE	NAP COCA COLA PUSZKA
CHEMISTRY	ODSWIEZACZ ZAPAS
MEAT	POLEDWICA SOPOLCKA
COFFEE TEA	KAWA ZBOZOWA ANATOL
GENERAL	PASZTET PODLASKI
CHEMISTRY	PODPASKI NATURELLA MAX
GENERAL_FOOD	CUKIER BIALY
VODKA_ALCOHOL	WHISKY HIGHLANDER
GENERAL	MOZZARELLA MINI
SWEETS	CZEK ALPEN GOLD GORZKA
SWEETS	GOPL CUKIERKI MIETA
CHIPS_FLAKES	CHIPS ZIEL CEB
GENERAL_FOOD	SMAK MAK FLAKI WIEPRZOWE POMID
SPICES	CUKIER WANILIOWY
SWEETS	BATON MARS
CANNED_PATE	LOWICZ DZEM WISNIA
DRINK_JUICE	NAP TYMBARK WIS JABLKO
CHEMISTRY	CLIN SZYB DOZOWNIKIEM
SWEETS	AMELIA PIANKA SMIET CZEK
GROATS_RICE_PASTA	SONKO KASZA JECZMIENNA PERLOWA
DRINK_JUICE	SCHWEPPES COLA
GENERAL	CWIKLA CHRZANEM SLON OGROD
CHEMISTRY	PODPASKI BELLA PERFECTA NIGHT
SWEETS	KRAKERSY SUPER
CHEMISTRY	ZEL WLOSOW BIALY STYLE
SPICES	PRYMAT KOPEREK SUSZONY
KETCH_CONCETRATE_MUSTARD_MAJO_HORSERADISH	ORZESZKI NIESOLONE PUSZKA
CHEMISTRY	SCIERKA UNIWERSALNA SZT
VEGETABLES	CZOSNEK POLSKI
GENERAL_FOOD	WAFLE KUKURYDZIANE
ICE_CREAMS_FROZEN	SZPINAK LISC
DRINK_JUICE	HELLENA WISNIA NAPOJ
SWEETS	PIANKA TWISTER
COFFEE TEA	PRIMA MIELONA
VEGETABLES	BRUKSELKA
MEAT	KASZANKA
COFFEE TEA	HERB SAGA EXPR SZT
SWEETS	WAFLE KWADRAT DESER
SWEETS	CIASTECZKA ZOO KAKAO
GROATS_RICE_PASTA	RYZ SONKO
GENERAL	KRAKUS GULASZ ANGIELSKI
CHEWING_GUM_LOLIPOPS	GUMA WINTERFRESH DRAZE
SPICES	GALEO LISC LAUROWY
CHEMISTRY	ARIEL KAPSU BIA EGO SZT
DAIRY_CHESSE	GOS SMIETANKA GOSTYN
GROATS_RICE_PASTA	MAKARON LUBELLA KOLANKO OZDOBNE
GENERAL_FOOD	ZUREK KRAKUS BUT
DAIRY_CHESSE	ZOOT GALARETKA AGREST
FISH	FILET MINTAJA MROZONY
GROATS_RICE_PASTA	MAKA WROCLAWSKA ZLOTY LAN TYP
SWEETS	TALARKI LAJKONIK
SWEETS	GOPL CZEKOLADA MLECZNA
CHEMISTRY	MYD LUKSJA KOSTCE ROCE
CHEMISTRY	PUR ACTION
SWEETS	PIZZA MROZONA
CHEMISTRY	PODPASKI BELLA NORMAL BEZ SKRZYD
ICE_CREAMS_FROZEN	PIEROGI OWOCAMI
DRINK_JUICE	KUBUS MUS TRUSKAWKA
CHEMISTRY	PUR DLON PAZN
COFFEE TEA	PRIMA NIEBIESKA
DAIRY_CHESSE	DROZDZE BABUNI ROTEX
CHEMISTRY	LUDWIK DREWNA
GENERAL_FOOD	LAKIER SPRAY ATOMIZER FIOLETOWY
VEGETABLES	POMIDOR KOKTAILOWY
GROATS_RICE_PASTA	MAKARON CZANIECKI NITECZKA WALCOW
CHEMISTRY	PLYN UNIWERSALNY AJAX
VEGETABLES	BANAN
ICE_CREAMS_FROZEN	LODY JAK DAWNIEJ
MEAT	SZYNKA PRASOWANA
CHEMISTRY	REKAW PIECZENIA
GENERAL_FOOD	NAP AQA GAZ ZURAWINA
VEGETABLES	CHRUPKI KUKURYDZIANE
GENERAL_FOOD	SUCHARY DELIKATESOWE MAMU
SWEETS	GUMA TATUAZEM
CIGARETTES	PAP LINK MINT
GENERAL	CZEK ALPEN GOLD TRUS
GENERAL_FOOD	ZESTAW KUBKIEM
CHEMISTRY	HELP PLYN PLUKANIA FRESH
SWEETS	SPRAY GRENADE
BEER	PIWO DEBOWE MOCNE PUSZKA
SWEETS	ZELKI NIMM JOGURTOWE
BEER	PIWO WARKA RADLER PUSZKA
GENERAL_FOOD	PIEROGI RUSKIE GRZESK
GENERAL_FOOD	SLONECZNIK CZARNY ANDREX
SWEETS	SUROWKA
OILS	KASZA KUSKUS
GENERAL	KNORR BARSZCZ BIALY
CHEMISTRY	REKAW PIECZENIA
SPICES	WIN KOSTKA MIESNA
CHIPS_FLAKES	LAYS MAX SER ZIEL CEB
DAIRY_CHESSE	DANIO BRZOSKWINIA
KETCH_CONCETRATE_MUSTARD_MAJO_HORSERADISH	FASOLA CZERWONA SLONECZNY OGROD
TABLETS	TABLETKI APAP SASZETKA TAB
VEGETABLES	POMELO SZT
TABLETS	VITAFIZZ MAGNEZ
VEGETABLES	BOROWKA PUDELKO
CHEMISTRY	HELP LANOLINA
CHEMISTRY	WKLADY ZNICZY
BREAD	BULKA SOJOWA
DAIRY_CHESSE	MLEKO ZAMBROWSKIE
BEER	PIWO LECH PILS BUTELKA
CHIPS_FLAKES	PRAZYNKI SPOKO
WINE_ALCOHOL 18%	NAP SPIR SOPLICA WISNIA
CHIPS_FLAKES	CHRUPKI STAR HYPER PIZZA
DAIRY_CHESSE	JOGURT MULLER
VEGETABLES	BURACZEK CZERWONY
SWEETS	ZELKI NIM MLEKOSMYKI
GENERAL_FOOD	SMAK MAK SMALEC BOCZKIEM CEBULA
DRINK_JUICE	PUDL SOK POMIDOROWY
BREAD	CHLEB DUZY KROJONY
DAIRY_CHESSE	GOS MLEKO CODZIENNE
GENERAL_FOOD	GELLWE PROSZEK PIECZANIA
GENERAL_FOOD	WAFLE RYZOWE MUSLI BANA SONK
ART._HYGIENIC	EVA MYDLO PLYNIE DOZOW
VEGETABLES	KNORR SOS FRANCUSKI SALAT
SWEETS	MILKA CZEKOL OREO
CIGARETTES	PAP ROTHMANSY RED
GENERAL_FOOD	WAFLE RYZOWE SLONECZ SONKO
OILS	MASLO ROSLINNE KRUSZ
MEAT	SZYNKA WIELKOPOLSKA
OCCASIONAL	WKLAD
GROATS_RICE_PASTA	MAKARON NITKA CIETA LUBELLA
DAIRY_CHESSE	JOGURT JOVI DUET
DAIRY_CHESSE	HOCHL KRAZEK TARCETT
CHIPS_FLAKES	STAR PRZYSMAK KARKOWKA
SWEETS	DRAZE KOKOSOWE KORSARZ SKAWA
KETCH_CONCETRATE_MUSTARD_MAJO_HORSERADISH	NAP IZOTON AMOWE BLU
CHEMISTRY	CHUSTECZKI BABY KINDII SZT
ICE_CREAMS_FROZEN	LODY MAGNUM CLASSIC
GROATS_RICE_PASTA	MAKARON POL MLYN SWIDEREK DURUM
ICE_CREAMS_FROZEN	LODY ROLADA MIX
BREAD	BULKA MASLANA MALA
DAIRY_CHESSE	BAKOMA TWIST BRZOS
KETCH_CONCETRATE_MUSTARD_MAJO_HORSERADISH	WIN MAJONEZ
DAIRY_CHESSE	DANIO CZEKOLADA
CHEMISTRY	MOLA PAPIER BIALY
BEER	PIWO OKOCIM RADLER ZWR WISNIA
DAIRY_CHESSE	JOGOBELA
FISH	FILETY SLEDZ SMIETANIE MARINUS
CHIPS_FLAKES	STAR PRAZYNKI SOLONE
DRINK_JUICE	NAP TYMBARK KAKTUS
ICE_CREAMS_FROZEN	WISNIE DRYLOWANE ADMAT
DRINK_JUICE	HELLENA ZIELONE JAB
BREAD	BULKA MALA KAJZERKA
DAIRY_CHESSE	SKORUPKA OGOREK KWASZONY
GENERAL	BOMBONIERKA WAWEL MARCEPAN
DRINK_JUICE	NAP LEMONIADA
ART._HYGIENIC	BELLA PODPASKI NORMAL SKRZYD
CHIPS_FLAKES	LAYS PAPRYKA
SWEETS	MILKA CZEKOLADA MLECZNA
MEAT	BOCZEK WEDZ PARZONY
SWEETS	CIASTKA KOWOLKA BABECZKI SUCHE
DAIRY_CHESSE	SMIETANA ZOOT
SPICES	APPETITA KMINEK MIELONY
VEGETABLES	SELER LUZ
COOKIES_BULK	WAFLE CHRUPS LUMARKI GRZESKI
GENERAL_FOOD	WIN BUDYN WANILIOWY
CHEMISTRY	MYDLO SZARE
MEAT	GALANTYNA DROBIEM
GENERAL	SZNURA PIEROGI RUSKIE
GENERAL_FOOD	AMINO YSK PIECZARKOWA
FISH	PLATY MARYNOWANE
MEAT	KIE BASA POLSKA WEDZONA
ICE_CREAMS_FROZEN	LODY OSKAR KROWKA
ICE_CREAMS_FROZEN	LODY KIBICA
CIGARETTES	PAP ROTHMANSY RED
GENERAL_FOOD	WIN BARSZCZ CZERWONY
DRINK_JUICE	NAP HELLENA TONIC GAZ
BREAD	BULKA GRAHAMKA ALPEJSKA
MEAT	KRAKOWSKA SUCHA
GENERAL_FOOD	MAJONEZ PEGAZ
VEGETABLES	KNORR SOS FRANCUSKI SALAT
DRINK_JUICE	NAP CAPRIO CZER POMARANCZA
MEAT	SZYNKA DEBOWA ROLOWANA
CIGARETTES	PAP MOCNE
DAIRY_CHESSE	BAKOMA BAKUS WANIL
DRINK_JUICE	NAP FRUGO CZARNE WISNIA
GENERAL_FOOD	GELLWE KISIEL CYTRYNOWY
BREAD	CHLEB KROJONY
DRINK_JUICE	SMAKOTEK BRZ
FISH	PASTA LOSOS SZCZYPIORKIEM
GROATS_RICE_PASTA	SOS SPAGHETI SMIET POMID DAWTON
KETCH_CONCETRATE_MUSTARD_MAJO_HORSERADISH	NAP HORTEX BANANOWY
ICE_CREAMS_FROZEN	LODY LULEK MIX BARWIJEZOR
FISH	PAPRYKARZ SZCZECINSKI FALA
GENERAL	KNORR NUDLE POMIDOROWA LAGODNA
ICE_CREAMS_FROZEN	FILET MIRUNY
CANNED_PATE	LOWICZ DZEM WISNIA
SWEETS	GOPL CZEKOLADA MLECZNA
CHIPS_FLAKES	CHRUPKI ARACHIDOWE
GENERAL_FOOD	SKORUPKA SALATKA WARZYWNA
DRINK_JUICE	KUBUS MAR MALIN JABLKO
ICE_CREAMS_FROZEN	WLOSZCZYZNA PASKI
DRINK_JUICE	SYROP TRUSKAWKA HERBOPOL
SPICES	GALEO PAPRYKA OSTRA
GENERAL_FOOD	LAKIER SPRAY ATOMIZER FIOLETOWY
BEER	PIWO EARL GREY BEZW
SWEETS	VERBENA DZIKA ROZA
CHEMISTRY	PAPIER TOALETOWY MEA BIALY ROLKI
CHEMISTRY	TORBA OKOLICZNOSCIOWA
SPICES	PRZYPRAWA PIZZY GALEO
CIGARETTES	PAP CHESTERFIELD BLU
VEGETABLES	SKORUPKA KAPUSTA CZERWONA
CANNED_PATE	KONSERWA TURYSTYCZNA SOKOLOW
COOKIES_BULK	CUKIERKI MOC NADZIEW WIT
OILS	MASLO ROSLINNE ZPT WARSZAWA
CHEMISTRY	ZMYWACZ KWIATEK
CIGARETTES	PAP ROTMANSY RED
BEER	PIWO ZYWIEC ALK ZWR
